iter	Passed	Remaining
0	3	927
1	6	917
2	9	955
3	17	1315
4	21	1292
5	32	1580
6	36	1512
7	40	1465
8	44	1424
9	47	1377
10	50	1325
11	54	1299
12	57	1270
13	63	1291
14	67	1280
15	71	1277
16	76	1280
17	81	1280
18	84	1256
19	88	1241
20	93	1247
21	97	1235
22	101	1218
23	104	1202
24	108	1192
25	112	1182
26	115	1170
27	118	1154
28	122	1145
29	127	1146
30	131	1137
31	134	1127
32	138	1121
33	142	1113
34	145	1101
35	149	1092
36	153	1093
37	158	1095
38	164	1097
39	167	1090
40	171	1085
41	176	1084
42	180	1081
43	184	1073
44	189	1073
45	194	1072
46	198	1070
47	203	1066
48	210	1079
49	215	1079
50	219	1073
51	224	1071
52	228	1065
53	231	1056
54	236	1052
55	240	1047
56	243	1039
57	247	1032
58	250	1022
59	254	1019
60	258	1012
61	262	1009
62	266	1002
63	271	1002
64	277	1003
65	284	1008
66	289	1007
67	294	1004
68	298	998
69	303	996
70	307	990
71	310	984
72	315	981
73	320	977
74	324	973
75	328	968
76	336	973
77	340	970
78	344	964
79	349	960
80	353	955
81	357	949
82	361	944
83	366	942
84	371	938
85	374	932
86	378	927
87	382	921
88	385	914
89	390	910
90	394	905
91	399	902
92	403	897
93	406	891
94	410	886
95	415	882
96	419	877
97	422	871
98	427	868
99	432	865
100	436	860
101	440	854
102	444	850
103	448	845
104	452	840
105	456	835
106	461	833
107	468	832
108	472	827
109	476	823
110	481	819
111	485	815
112	489	810
113	495	808
114	499	803
115	502	797
116	507	794
117	513	791
118	517	787
119	522	783
120	527	781
121	532	776
122	536	771
123	540	767
124	544	762
125	548	757
126	552	752
127	556	748
128	560	742
129	565	739
130	569	734
131	574	730
132	578	725
133	581	720
134	586	716
135	590	712
136	594	707
137	598	702
138	602	698
139	607	694
140	611	689
141	615	684
142	620	681
143	624	676
144	628	671
145	631	665
146	636	662
147	639	656
148	642	651
149	648	648
150	653	644
151	658	641
152	663	637
153	669	634
154	674	630
155	678	626
156	681	621
157	686	616
158	690	612
159	694	607
160	698	603
161	702	598
162	706	593
163	710	589
164	714	584
165	719	580
166	723	576
167	727	571
168	731	567
169	735	562
170	739	557
171	742	552
172	744	546
173	749	542
174	754	538
175	758	534
176	762	529
177	767	525
178	772	521
179	776	517
180	780	513
181	785	508
182	789	504
183	794	500
184	798	496
185	802	491
186	806	487
187	810	483
188	815	478
189	819	474
190	823	470
191	830	466
192	834	462
193	838	457
194	841	453
195	846	448
196	850	444
197	855	440
198	860	436
199	865	432
200	870	428
201	874	424
202	878	419
203	883	415
204	886	411
205	891	406
206	895	402
207	900	398
208	904	393
209	908	389
210	912	385
211	917	380
212	920	376
213	923	371
214	928	367
215	932	362
216	935	358
217	939	353
218	943	348
219	947	344
220	950	339
221	954	335
222	959	331
223	964	327
224	968	322
225	973	318
226	977	314
227	982	310
228	986	305
229	990	301
230	994	297
231	998	292
232	1003	288
233	1007	284
234	1011	279
235	1014	275
236	1018	270
237	1022	266
238	1026	262
239	1031	257
240	1035	253
241	1039	249
242	1043	244
243	1047	240
244	1051	236
245	1055	231
246	1059	227
247	1063	222
248	1067	218
249	1072	214
250	1078	210
251	1084	206
252	1089	202
253	1094	198
254	1099	193
255	1103	189
256	1106	185
257	1112	181
258	1117	176
259	1123	172
260	1128	168
261	1133	164
262	1140	160
263	1147	156
264	1158	152
265	1169	149
266	1183	146
267	1191	142
268	1201	138
269	1208	134
270	1218	130
271	1234	127
272	1246	123
273	1260	119
274	1269	115
275	1276	110
276	1283	106
277	1291	102
278	1301	97
279	1309	93
280	1321	89
281	1331	84
282	1340	80
283	1350	76
284	1357	71
285	1365	66
286	1372	62
287	1381	57
288	1390	52
289	1397	48
290	1404	43
291	1410	38
292	1418	33
293	1430	29
294	1437	24
295	1442	19
296	1449	14
297	1457	9
298	1464	4
299	1472	0
